bp symbol,bit offset from N,N,Bit #,bp pin,Bit # in KLX.MCR
CRAM SCADA EN L,0,0,0,4E52D2,39
CRAM SCAD 4 H,1,0,1,4D52V2,36
CRAM SCAD 2 H,2,0,2,4C52K2,37
CRAM SCAD 1 H,3,0,3,4B52P2,38
CRAM J00 H,1,4,5,4D50V2,1
CRAM J01 H,2,4,6,4C50K2,2
CRAM J02 H,3,4,7,4B50P2,3
CRAM J03 H,0,8,8,4E44D2,4
CRAM J04 H,1,8,9,4D44V2,5
CRAM J05 H,2,8,10,4C44K2,6
CRAM J06 H,3,8,11,4B44P2,7
CRAM J07 H,0,12,12,4E42D2,8
CRAM J08 H,1,12,13,4D42V2,9
CRAM J09 H,2,12,14,4C42K2,10
CRAM J10 H,3,12,15,4B42P2,11
CRAM FE LOAD H,0,16,16,4E50D2,47
CRAM MQ SEL H,0,16,16,4E40D2,32
CRAM COND 00 H,1,16,17,4D40V2,60
CRAM COND 01 H,2,16,18,4C40K2,61
CRAM COND 02 H,3,16,19,4B40P2,62
CRAM AD SEL 8 H,20,0,20,4E52S2,14
CRAM AD SEL 8 00 H,20,0,20,4F52F2,14
CRAM AD SEL 8 06 H,20,0,20,4F52E2,14
CRAM AD SEL 8 12 H,20,0,20,4F52D2,14
CRAM AD SEL 8 18 H,20,0,20,4E52R2,14
CRAM AD SEL 8 24 H,20,0,20,4E52U2,14
CRAM AD SEL 8 30 H,20,0,20,4E52V2,14
CRAM AD SEL 4 H,21,0,21,4E52P2,15
CRAM AD SEL 4 00 H,21,0,21,4E52K2,15
CRAM AD SEL 4 06 H,21,0,21,4E52L2,15
CRAM AD SEL 4 12 H,21,0,21,4E52M2,15
CRAM AD SEL 4 18 H,21,0,21,4E52J2,15
CRAM AD SEL 4 24 H,21,0,21,4E52F2,15
CRAM AD SEL 4 30 H,21,0,21,4E52E2,15
CRAM AD SEL 2 H,22,0,22,4C52J2,16
CRAM AD SEL 2 00 H,22,0,22,4B52M2,16
CRAM AD SEL 2 06 H,22,0,22,4B52L2,16
CRAM AD SEL 2 12 H,22,0,22,4B52M1,16
CRAM AD SEL 2 18 H,22,0,22,4B52K2,16
CRAM AD SEL 2 24 H,22,0,22,4B52K1,16
CRAM AD SEL 2 30 H,22,0,22,4B52L1,16
CRAM AD SEL 1 H,23,0,23,4B52F1,17
CRAM AD SEL 1 00 H,23,0,23,4B52J1,17
CRAM AD SEL 1 06 H,23,0,23,4B52J2,17
CRAM AD SEL 1 12 H,23,0,23,4B52F2,17
CRAM AD SEL 1 18 H,23,0,23,4B52D2,17
CRAM AD SEL 1 24 H,23,0,23,4B52E2,17
CRAM AD SEL 1 30 H,23,0,23,4B52E1,17
CRAM AD BOOLE H,20,4,24,4E50S2,13
CRAM AD BOOLE 00 H,20,4,24,4F50F2,13
CRAM AD BOOLE 06 H,20,4,24,4F50E2,13
CRAM AD BOOLE 12 H,20,4,24,4F50D2,13
CRAM AD BOOLE 18 H,20,4,24,4E50R2,13
CRAM AD BOOLE 24 H,20,4,24,4E50U2,13
CRAM AD BOOLE 30 H,20,4,24,4E50V2,13
CRAM ADA DIS H,21,4,25,4E50P2,18
CRAM ADA DIS 00 H,21,4,25,4E50K2,18
CRAM ADA DIS 06 H,21,4,25,4E50L2,18
CRAM ADA DIS 12 H,21,4,25,4E50M2,18
CRAM ADA DIS 18 H,21,4,25,4E50J2,18
CRAM ADA DIS 24 H,21,4,25,4E50F2,18
CRAM ADA DIS 30 H,21,4,25,4E50E2,18
CRAM ADA SEL 2 H,22,4,26,4C50J2,19
CRAM ADA SEL 2 00 H,22,4,26,4B50M2,19
CRAM ADA SEL 2 06 H,22,4,26,4B50L2,19
CRAM ADA SEL 2 12 H,22,4,26,4B50M1,19
CRAM ADA SEL 2 18 H,22,4,26,4B50K2,19
CRAM ADA SEL 2 24 H,22,4,26,4B50K1,19
CRAM ADA SEL 2 30 H,22,4,26,4B50L1,19
CRAM ADA SEL 1 H,23,4,27,4B50F1,20
CRAM ADA SEL 1 00 H,23,4,27,4B50J1,20
CRAM ADA SEL 1 06 H,23,4,27,4B50J2,20
CRAM ADA SEL 1 12 H,23,4,27,4B50F2,20
CRAM ADA SEL 1 18 H,23,4,27,4B50D2,20
CRAM ADA SEL 1 24 H,23,4,27,4B50E2,20
CRAM ADA SEL 1 30 H,23,4,27,4B50E1,20
CRAM ADB SEL 2 H,20,8,28,4E44S2,22
CRAM ADB SEL 2 00 H,20,8,28,4F44F2,22
CRAM ADB SEL 2 06 H,20,8,28,4F44E2,22
CRAM ADB SEL 2 12 H,20,8,28,4F44D2,22
CRAM ADB SEL 2 18 H,20,8,28,4E44R2,22
CRAM ADB SEL 2 24 H,20,8,28,4E44U2,22
CRAM ADB SEL 2 30 H,20,8,28,4E44V2,22
CRAM # 00 H,21,8,29,4E44P2,75
CRAM # 00 A H,21,8,29,4E44K2,75
CRAM # 00 B H,21,8,29,4E44L2,75
CRAM # 00 C H,21,8,29,4E44M2,75
CRAM # 00 D H,21,8,29,4E44J2,75
CRAM # 00 E H,21,8,29,4E44F2,75
CRAM # 00 F H,21,8,29,4E44E2,75
CRAM # 01 H,22,8,30,4C44J2,76
CRAM # 01 A H,22,8,30,4B44M2,76
CRAM # 01 B H,22,8,30,4B44L2,76
CRAM # 01 C H,22,8,30,4B44M1,76
CRAM # 01 D H,22,8,30,4B44K2,76
CRAM # 01 E H,22,8,30,4B44K1,76
CRAM # 01 F H,22,8,30,4B44L1,76
CRAM # 02 H,23,8,31,4B44F1,77
CRAM # 02 A H,23,8,31,4B44J1,77
CRAM # 02 B H,23,8,31,4B44J2,77
CRAM # 02 C H,23,8,31,4B44F2,77
CRAM # 02 D H,23,8,31,4B44D2,77
CRAM # 02 E H,23,8,31,4B44E2,77
CRAM # 02 F H,23,8,31,4B44E1,77
CRAM ADB SEL 1 H,20,12,32,4E42S2,23
CRAM ADB SEL 1 00 H,20,12,32,4F42F2,23
CRAM ADB SEL 1 06 H,20,12,32,4F42E2,23
CRAM ADB SEL 1 12 H,20,12,32,4F42D2,23
CRAM ADB SEL 1 18 H,20,12,32,4E42R2,23
CRAM ADB SEL 1 24 H,20,12,32,4E42U2,23
CRAM ADB SEL 1 30 H,20,12,32,4E42V2,23
CRAM # 03 H,21,12,33,4E42P2,78
CRAM # 03 A H,21,12,33,4E42K2,78
CRAM # 03 B H,21,12,33,4E42L2,78
CRAM # 03 C H,21,12,33,4E42M2,78
CRAM # 03 D H,21,12,33,4E42J2,78
CRAM # 03 E H,21,12,33,4E42F2,78
CRAM # 03 F H,21,12,33,4E42E2,78
CRAM # 04 H,22,12,34,4C42J2,79
CRAM # 04 A H,22,12,34,4B42M2,79
CRAM # 04 B H,22,12,34,4B42L2,79
CRAM # 04 C H,22,12,34,4B42M1,79
CRAM # 04 D H,22,12,34,4B42K2,79
CRAM # 04 E H,22,12,34,4B42K1,79
CRAM # 04 F H,22,12,34,4B42L1,79
CRAM # 05 H,23,12,35,4B42F1,80
CRAM # 05 A H,23,12,35,4B42J1,80
CRAM # 05 B H,23,12,35,4B42J2,80
CRAM # 05 C H,23,12,35,4B42F2,80
CRAM # 05 D H,23,12,35,4B42D2,80
CRAM # 05 E H,23,12,35,4B42E2,80
CRAM # 05 F H,23,12,35,4B42E1,80
CRAM ARXM SEL 4 H,20,16,36,4E40S2,27
CRAM ARXM SEL 4 00 H,20,16,36,4F40F2,27
CRAM ARXM SEL 4 06 H,20,16,36,4F40E2,27
CRAM ARXM SEL 4 12 H,20,16,36,4F40D2,27
CRAM ARXM SEL 4 18 H,20,16,36,4E40R2,27
CRAM ARXM SEL 4 24 H,20,16,36,4E40U2,27
CRAM ARXM SEL 4 30 H,20,16,36,4E40V2,27
CRAM # 06 H,21,16,37,4E40P2,81
CRAM # 06 A H,21,16,37,4E40K2,81
CRAM # 06 B H,21,16,37,4E40L2,81
CRAM # 06 C H,21,16,37,4E40M2,81
CRAM # 06 D H,21,16,37,4E40J2,81
CRAM # 06 E H,21,16,37,4E40F2,81
CRAM # 06 F H,21,16,37,4E40E2,81
CRAM # 07 H,22,16,38,4C40J2,82
CRAM # 07 A H,22,16,38,4B40M2,82
CRAM # 07 B H,22,16,38,4B40L2,82
CRAM # 07 C H,22,16,38,4B40M1,82
CRAM # 07 D H,22,16,38,4B40K2,82
CRAM # 07 E H,22,16,38,4B40K1,82
CRAM # 07 F H,22,16,38,4B40L1,82
CRAM # 08 H,23,16,39,4B40F1,83
CRAM # 08 A H,23,16,39,4B40J1,83
CRAM # 08 B H,23,16,39,4B40J2,83
CRAM # 08 C H,23,16,39,4B40F2,83
CRAM # 08 D H,23,16,39,4B40D2,83
CRAM # 08 E H,23,16,39,4B40E2,83
CRAM # 08 F H,23,16,39,4B40E1,83
CRAM SCADA SEL 2 H,40,0,40,4F52P2,40
CRAM SCADA SEL 2 A H,40,0,40,4F52M2,40
CRAM SCADA SEL 2 A L,40,0,40,4F52S2,40
CRAM SCADA SEL 1 H,41,0,41,4F52K2,41
CRAM SCADA SEL 1 A H,41,0,41,4F52L2,41
CRAM SCADA SEL 1 A L,41,0,41,4F52R2,41
CRAM SCADA SEL 1S H,41,0,41,4D52L2,41
CRAM SCADB SEL 2 H,42,0,42,4A52R2,43
